Product_ID,Product_Title,Category,Merchant,Price,Brand,Description
PROD_000001,Car Air Freshener Pack HomeFirst Black,Automotive,Merchant_79,334.29,HomeFirst,Car Air Freshener Pack by HomeFirst. High quality product in Automotive category.
PROD_000002,Bamboo Cutting Board Set SportZone Blue,Home_Garden,Merchant_15,342.71,SportZone,Bamboo Cutting Board Set by SportZone. High quality product in Home Garden category.
PROD_000003,Zip Up Hoodie TechLine Red,Clothing,Merchant_297,132.86,TechLine,Zip Up Hoodie by TechLine. High quality product in Clothing category.
PROD_000004,Art Drawing Techniques Generic Green,Books,Merchant_99,499.9,Generic,Art Drawing Techniques by Generic. High quality product in Books category.
PROD_000005,LED Headlight Bulb H7 BrandD Blue,Automotive,Merchant_186,426.64,BrandD,LED Headlight Bulb H7 by BrandD. High quality product in Automotive category.
PROD_000006,Tennis Balls Pack of 3 BrandA Red,Sports,Merchant_209,186.21,BrandA,Tennis Balls Pack of 3 by BrandA. High quality product in Sports category.
PROD_000007,Notebook A5 Lined BrandE Blue,Office_Supplies,Merchant_172,39.46,BrandE,Notebook A5 Lined by BrandE. High quality product in Office Supplies category.
PROD_000008,Car Vacuum Cleaner Mini BrandC White,Automotive,Merchant_180,220.39,BrandC,Car Vacuum Cleaner Mini by BrandC. High quality product in Automotive category.
PROD_000009,Fiction Mystery Novel ProMax Red,Books,Merchant_132,413.15,ProMax,Fiction Mystery Novel by ProMax. High quality product in Books category.
PROD_000010,Fitness Tracker Watch BrandD Red,Sports,Merchant_164,341.66,BrandD,Fitness Tracker Watch by BrandD. High quality product in Sports category.
PROD_000011,Bamboo Cutting Board Set BrandA Red,Home_Garden,Merchant_248,205.39,BrandA,Bamboo Cutting Board Set by BrandA. High quality product in Home Garden category.
PROD_000012,Tire Pressure Gauge Digital Generic Green,Automotive,Merchant_120,38.44,Generic,Tire Pressure Gauge Digital by Generic. High quality product in Automotive category.
PROD_000013,Jump Rope Speed BrandD White,Sports,Merchant_237,352.45,BrandD,Jump Rope Speed by BrandD. High quality product in Sports category.
PROD_000014,Noise Cancelling Earbuds BrandC Black,Electronics,Merchant_287,119.67,BrandC,Noise Cancelling Earbuds by BrandC. High quality product in Electronics category.
PROD_000015,Yoga Mat Non-Slip 6mm BrandB Blue,Sports,Merchant_148,459.72,BrandB,Yoga Mat Non-Slip 6mm by BrandB. High quality product in Sports category.
PROD_000016,Car Seat Cover Set BrandB,Automotive,Merchant_13,488.14,BrandB,Car Seat Cover Set by BrandB. High quality product in Automotive category.
PROD_000017,Athletic Shorts Quick Dry BrandC Blue,Clothing,Merchant_149,297.92,BrandC,Athletic Shorts Quick Dry by BrandC. High quality product in Clothing category.
PROD_000018,Waterproof Rain Jacket BrandD Gray,Clothing,Merchant_144,462.92,BrandD,Waterproof Rain Jacket by BrandD. High quality product in Clothing category.
PROD_000019,Children Story Book Set TechLine Black,Books,Merchant_302,395.55,TechLine,Children Story Book Set by TechLine. High quality product in Books category.
PROD_000020,Art Drawing Techniques HomeFirst White,Books,Merchant_250,148.26,HomeFirst,Art Drawing Techniques by HomeFirst. High quality product in Books category.
PROD_000021,Card Game Deck BrandE Black,Toys,Merchant_172,216.86,BrandE,Card Game Deck by BrandE. High quality product in Toys category.
PROD_000022,Mixed Nuts Unsalted 500g BrandD,Food_Grocery,Merchant_257,12.73,BrandD,Mixed Nuts Unsalted 500g by BrandD. High quality product in Food Grocery category.
PROD_000023,LED Headlight Bulb H7 Generic Gray,Automotive,Merchant_262,104.27,Generic,LED Headlight Bulb H7 by Generic. High quality product in Automotive category.
PROD_000024,Stuffed Animal Plush Bear HomeFirst Gray,Toys,Merchant_247,225.57,HomeFirst,Stuffed Animal Plush Bear by HomeFirst. High quality product in Toys category.
PROD_000025,LED Headlight Bulb H7 Generic,Automotive,Merchant_48,209.37,Generic,LED Headlight Bulb H7 by Generic. High quality product in Automotive category.
PROD_000026,LED String Lights Outdoor HomeFirst Black,Home_Garden,Merchant_198,236.55,HomeFirst,LED String Lights Outdoor by HomeFirst. High quality product in Home Garden category.
PROD_000027,Solar Garden Lights 4 Pack BrandE Blue,Home_Garden,Merchant_304,177.77,BrandE,Solar Garden Lights 4 Pack by BrandE. High quality product in Home Garden category.
PROD_000028,Running Shoes Lightweight BrandD Gray,Clothing,Merchant_40,349.52,BrandD,Running Shoes Lightweight by BrandD. High quality product in Clothing category.
PROD_000029,Bamboo Cutting Board Set TechLine Green,Home_Garden,Merchant_72,301.93,TechLine,Bamboo Cutting Board Set by TechLine. High quality product in Home Garden category.
PROD_000030,Doll House Wooden BrandC Blue,Toys,Merchant_42,362.1,BrandC,Doll House Wooden by BrandC. High quality product in Toys category.
PROD_000031,USB-C Charging Cable 2m BrandB Green,Electronics,Merchant_141,296.65,BrandB,USB-C Charging Cable 2m by BrandB. High quality product in Electronics category.
PROD_000032,Jump Rope Speed Generic White,Sports,Merchant_242,220.0,Generic,Jump Rope Speed by Generic. High quality product in Sports category.
PROD_000033,Foam Roller Massage ProMax Blue,Sports,Merchant_282,265.68,ProMax,Foam Roller Massage by ProMax. High quality product in Sports category.
PROD_000034,Art Drawing Techniques BrandB White,Books,Merchant_170,476.83,BrandB,Art Drawing Techniques by BrandB. High quality product in Books category.
PROD_000035,Jump Rope Speed BrandA Blue,Sports,Merchant_194,168.95,BrandA,Jump Rope Speed by BrandA. High quality product in Sports category.
PROD_000036,Cotton Bath Towel Set ProMax Blue,Home_Garden,Merchant_120,125.85,ProMax,Cotton Bath Towel Set by ProMax. High quality product in Home Garden category.
