Marital_Status,Application_Mode,Application_Order,Course,Daytime_Evening_Attendance,Previous_Qualification,Previous_Qualification_Grade,Nacionality,Mothers_Qualification,Fathers_Qualification,Mothers_Occupation,Fathers_Occupation,Admission_Grade,Displaced,Educational_Special_Needs,Debtor,Tuition_Fees_Up_to_Date,Gender,Scholarship_Holder,Age_at_Enrollment,International,Curricular_Units_1st_Sem_Credited,Curricular_Units_1st_Sem_Enrolled,Curricular_Units_1st_Sem_Evaluations,Curricular_Units_1st_Sem_Approved,Curricular_Units_1st_Sem_Grade,Curricular_Units_1st_Sem_Without_Evaluations,Curricular_Units_2nd_Sem_Credited,Curricular_Units_2nd_Sem_Enrolled,Curricular_Units_2nd_Sem_Evaluations,Curricular_Units_2nd_Sem_Approved,Curricular_Units_2nd_Sem_Grade,Curricular_Units_2nd_Sem_Without_Evaluations,Unemployment_Rate,Inflation_Rate,GDP,Target
1,17,6,9130,0,12,126.8,8,19,28,5,8,131.9,1,0,1,1,0,0,35,1,11,0,26,13,4.7,4,5,7,18,4,5.5,7,14.7,3.4,2.67,Graduate
6,16,8,9119,0,12,102.0,20,6,2,4,18,140.2,1,0,0,1,0,1,29,0,14,7,12,8,11.4,5,12,6,3,11,13.0,7,14.9,2.6,1.92,Graduate
2,15,9,9130,1,10,130.3,5,10,1,6,4,122.4,1,0,0,1,1,0,50,0,7,19,20,8,10.2,2,11,17,1,12,13.9,2,12.0,2.4,-1.97,Dropout
2,10,1,9070,1,10,132.0,2,12,9,12,14,128.3,0,0,0,1,1,0,49,0,5,16,25,10,0.4,8,7,12,25,5,11.1,1,11.2,-0.7,-1.71,Graduate
1,10,5,9003,1,2,148.9,12,17,22,7,10,111.1,0,0,0,1,0,0,32,0,11,6,1,3,15.9,6,10,10,11,0,3.0,5,15.9,2.3,0.37,Dropout
1,10,2,9119,1,3,107.9,2,27,27,0,18,125.7,0,0,0,1,1,1,46,0,7,2,27,2,9.6,3,8,4,1,2,13.2,8,8.7,1.6,0.46,Dropout
1,1,5,33,1,10,122.6,6,2,9,9,5,117.3,0,0,0,1,0,0,19,0,3,15,0,3,10.5,2,0,7,7,9,0.2,7,12.8,-0.0,2.53,Graduate
4,7,2,9085,1,5,122.1,19,25,7,19,9,124.9,0,0,0,0,1,1,43,0,4,4,26,8,2.7,9,1,19,14,1,1.0,2,12.6,1.8,-3.84,Graduate
2,15,7,9130,1,9,129.2,12,28,2,19,15,124.0,0,0,0,1,1,0,36,0,13,8,2,6,14.5,6,7,1,29,0,1.7,1,15.6,-0.3,2.93,Enrolled
2,2,3,9119,1,10,131.4,13,17,5,0,4,122.9,1,0,0,1,0,1,48,0,2,2,7,14,9.6,4,13,3,0,5,4.5,3,7.8,1.4,2.52,Dropout
1,16,9,171,0,6,136.6,17,5,17,19,17,154.4,1,0,0,1,1,1,37,0,6,11,17,3,1.6,1,3,14,3,3,8.0,0,15.5,0.1,-0.22,Graduate
6,2,5,9119,1,5,101.6,12,19,8,13,18,150.0,1,0,1,0,1,0,21,0,10,17,4,8,12.6,5,6,12,29,14,9.7,2,13.9,-0.8,-3.18,Graduate
3,2,8,9085,1,10,132.6,3,4,3,14,9,145.4,1,0,0,0,1,1,18,0,6,11,13,8,8.8,2,4,16,15,5,9.3,1,8.2,0.9,0.64,Graduate
1,2,1,9070,1,1,133.7,8,30,3,5,9,150.3,0,0,0,1,1,0,38,0,5,7,19,12,6.0,6,13,17,22,14,13.1,0,8.8,0.9,0.64,Enrolled
1,16,1,9003,1,1,131.1,16,32,1,19,11,145.5,1,0,0,0,1,0,23,1,3,1,13,0,16.6,9,11,19,5,13,2.3,8,9.5,1.5,-3.38,Graduate
1,10,6,33,0,1,127.3,4,27,24,1,2,126.7,1,0,0,1,1,1,26,0,6,5,8,8,14.8,4,3,8,28,3,10.9,9,13.1,3.5,3.0,Enrolled
1,2,1,171,1,3,78.7,13,32,30,6,3,125.4,0,0,0,1,0,0,17,0,11,14,9,7,0.8,6,8,4,26,3,8.5,0,13.7,-0.4,0.69,Graduate
1,16,1,9119,0,14,138.5,8,11,26,19,11,130.1,1,0,0,1,0,0,32,0,11,1,20,2,12.6,3,3,3,11,3,12.2,5,13.6,0.2,0.05,Dropout
1,16,3,9238,1,6,115.4,1,13,3,18,6,124.3,1,0,0,1,1,0,44,0,2,10,12,7,3.1,0,11,13,29,6,17.5,5,12.9,1.2,0.32,Graduate
1,7,8,8014,0,6,139.2,3,17,13,4,11,113.5,1,0,0,1,1,0,36,0,12,0,0,3,0.3,0,13,16,8,7,6.7,5,8.2,0.8,-0.06,Graduate
2,16,7,9070,1,5,148.8,1,30,12,7,2,130.9,1,0,1,1,1,0,42,0,5,12,22,1,3.9,6,12,14,14,13,4.4,8,7.4,1.7,-3.37,Graduate
1,10,1,9130,1,9,104.9,15,18,20,2,17,106.6,1,0,0,1,1,0,31,0,11,10,24,5,0.9,8,9,15,23,4,15.4,5,9.5,2.8,1.75,Graduate
1,2,7,9130,1,5,138.7,18,30,8,12,18,128.8,1,0,0,1,1,1,46,0,3,14,21,1,11.5,5,5,2,27,13,5.3,6,12.4,1.1,-4.03,Dropout
